,KBtuh_Heating,KBTUh_Cooling,OA_Temp
2021-02-20 20:30:00-05:00,24369.87912,6187.518558,30.4
2021-02-20 20:45:00-05:00,24794.07881,5953.767857,29.62
2021-02-20 21:15:00-05:00,24922.07372,6810.514206,29.12
2021-02-20 21:30:00-05:00,24999.77183,5694.596285,28.6
2021-02-20 22:00:00-05:00,24141.00196,5706.267115,28.08
2021-02-20 22:15:00-05:00,23794.34626,5816.761289,27.55
2021-02-20 22:30:00-05:00,25558.87556,5862.9366,27.55
2021-02-20 22:45:00-05:00,24566.80834,5782.6224,27.03
2021-02-21 00:00:00-05:00,13501.9189,5431.3416,26.51
2021-02-21 00:15:00-05:00,14089.70355,5442.666953,25.99
2021-02-21 00:45:00-05:00,29423.68513,5747.517238,25.99
2021-02-21 01:00:00-05:00,28820.47375,6490.467573,25.3
2021-02-21 02:00:00-05:00,29406.27782,5754.063321,25.3
2021-02-21 02:15:00-05:00,29301.55461,6728.869342,24.78
2021-02-21 03:30:00-05:00,28065.38216,6500.797831,24.03
2021-02-21 04:15:00-05:00,26625.18622,6412.434797,24.03
2021-02-21 04:30:00-05:00,27351.8026,5803.170726,23.27
2021-02-21 07:45:00-05:00,27351.8026,3985.686,25.52
2021-02-21 08:00:00-05:00,26508.37885,3993.996893,27.82
2021-02-21 08:15:00-05:00,27377.78342,3884.12982,31.15
2021-02-21 08:30:00-05:00,25194.7681,4292.323264,32.38
2021-02-21 09:45:00-05:00,26061.56819,4848.252301,35.55
2021-02-21 10:00:00-05:00,25610.89144,4675.014022,36.5
2021-02-21 10:30:00-05:00,25513.37589,4349.848247,43.21
2021-02-21 10:45:00-05:00,23828.25026,3650.03039,42.3
2021-02-21 11:00:00-05:00,24398.89071,3960.011877,43.88
2021-02-21 11:15:00-05:00,23419.22801,4097.496227,41.85
2021-02-21 11:45:00-05:00,23652.23196,3754.31355,46.11
2021-02-21 12:00:00-05:00,22711.29371,3377.073049,43.43
2021-02-21 12:15:00-05:00,22491.81747,3169.757529,47.21
2021-02-21 12:30:00-05:00,22621.39015,3519.092674,43.88
2021-02-21 12:45:00-05:00,23014.06333,3140.68594,42.3
2021-02-21 13:00:00-05:00,22446.64856,2742.50475,41.61
2021-02-21 13:45:00-05:00,21578.23859,2113.846125,41.61
2021-02-21 14:00:00-05:00,22819.44466,1671.9615,46.54
